DATE,UPI PAYMENTS
01-Jan,0
02-Jan,0
03-Jan,500
04-Jan,200
05-Jan,350
06-Jan,1550
07-Jan,450
08-Jan,630
09-Jan,585
10-Jan,0
11-Jan,555
12-Jan,1980
13-Jan,4000
14-Jan,6080
15-Jan,5872
16-Jan,1000
17-Jan,595
18-Jan,850
19-Jan,1520
20-Jan,0
21-Jan,0
22-Jan,0
23-Jan,800
24-Jan,4200
25-Jan,500
26-Jan,1755
27-Jan,1300
28-Jan,1042
29-Jan,755
30-Jan,0
31-Jan,590
01-Feb,800
02-Feb,1090
03-Feb,3570
04-Feb,1050
05-Feb,1473
06-Feb,0
07-Feb,1200
08-Feb,0
09-Feb,0
10-Feb,1690
11-Feb,990
12-Feb,2350
13-Feb,1050
14-Feb,2850
15-Feb,900
16-Feb,1650
17-Feb,450
18-Feb,700
19-Feb,1300
20-Feb,780
21-Feb,3850
22-Feb,585
23-Feb,1490
24-Feb,2470
25-Feb,720
26-Feb,1170
27-Feb,1250
28-Feb,2680
01-Mar,710
02-Mar,1350
03-Mar,950
04-Mar,2300
05-Mar,1250
06-Mar,1481
07-Mar,1200
08-Mar,1164
09-Mar,2368
10-Mar,2716
11-Mar,2425
12-Mar,1375
13-Mar,1850
14-Mar,1575
15-Mar,0
16-Mar,1100
17-Mar,785
18-Mar,0
19-Mar,800
20-Mar,1185
21-Mar,520
22-Mar,2580
23-Mar,1030
24-Mar,1040
25-Mar,799
26-Mar,1299
27-Mar,769
28-Mar,6010
29-Mar,7300
30-Mar,585
31-Mar,530
01-Apr,0
02-Apr,1250
03-Apr,1350
04-Apr,620
05-Apr,1860
06-Apr,2230
07-Apr,2100
08-Apr,1267
09-Apr,1890
10-Apr,1350
11-Apr,4999
12-Apr,1030
13-Apr,4350
14-Apr,550
15-Apr,1570
16-Apr,1099
17-Apr,3650
18-Apr,1350
19-Apr,2210
20-Apr,5410
21-Apr,2910
22-Apr,2838
23-Apr,2335
24-Apr,4440
25-Apr,0
26-Apr,3450
27-Apr,3576
28-Apr,2890
29-Apr,6606
30-Apr,1850
01-May,1760
02-May,0
03-May,800
04-May,2025
05-May,0
06-May,820
07-May,0
08-May,2365
09-May,8455
10-May,2500
11-May,6450
12-May,1180
13-May,8040
14-May,4275
15-May,8600
16-May,2865
17-May,8650
18-May,975
19-May,4520
20-May,2358
21-May,775
22-May,4525
23-May,4300
24-May,8790
25-May,1267
26-May,2770
27-May,6790
28-May,2650
29-May,3768
30-May,4000
31-May,9450
01-Jun,2759
02-Jun,3150
03-Jun,8200
04-Jun,5550
05-Jun,3900
06-Jun,6150
07-Jun,8010
08-Jun,0
09-Jun,5690
10-Jun,4800
11-Jun,3350
12-Jun,2880
13-Jun,1130
14-Jun,2600
15-Jun,2990
16-Jun,1130
17-Jun,2250
18-Jun,4573
19-Jun,1860
20-Jun,2520
21-Jun,4300
22-Jun,3999
23-Jun,9250
24-Jun,4760
25-Jun,3780
26-Jun,1425
27-Jun,0
28-Jun,2810
29-Jun,1700
30-Jun,2500
